secret,turn_index,question,label
abacus,1,What size is the object you are thinking of?,Open
abacus,2,Is the object man-made?,Closed
abacus,3,What is the primary material the object is made of?,Open
abacus,4,Does the object have moving parts?,Closed
abacus,5,Is the object something that can be held in your hand?,Closed
abacus,6,Is the object used for a specific task or function?,Closed
abacus,7,I'm going to take a guess that the object is a wooden ruler.?,Open
abacus,8,Does the object have strings?,Closed
abacus,9,Is the object used for a task related to food or cooking?,Closed
abacus,10,Is the object used for entertainment?,Closed
abacus,11,Is the object used for a task related to crafts or art?,Closed
abacus,12,Does the object have a distinct or unusual smell?,Closed
abacus,13,Is the object used primarily with the hands?,Closed
abacus,14,Is the object used for a task related to personal grooming?,Closed
abacus,15,Does the object make a sound when used?,Closed
abacus,16,I'm going to take a guess that the object is a wooden flute.?,Open
abacus,17,"Is the object used for a task related to music, but not a musical instrument?",Closed
abacus,18,Is the object commonly found in an office or workspace?,Closed
abacus,19,"Does the object serve a functional purpose, such as holding or organizing something?",Closed
abacus,20,I'm going to take a guess that the object is a wooden desk organizer.?,Open
abacus,21,Is the object used for writing or drawing?,Closed
abacus,22,"Does the object have a mechanical mechanism, such as gears or levers?",Closed
abacus,23,I'm going to take a guess that the object is a wooden pencil sharpener.?,Open
abacus,24,Is the object used to manipulate or interact with paper in some way?,Closed
abacus,25,Is the object used to fasten or join things together?,Closed
abacus,26,Does the object have a rotating or turning part?,Closed
abacus,27,I'm going to take a guess that the object is a wooden stapler.?,Open
abacus,28,Is the object used to measure or quantify something?,Closed
abacus,29,I'm going to take a guess that the object is a wooden protractor.?,Open
abacus,30,Does the object have numbers or markings on it?,Closed
abacus,31,I'm going to take a guess that the object is a wooden clock.?,Open
abacus,32,Is the object used to measure time?,Closed
abacus,33,Is the object used to measure length or distance?,Closed
abacus,34,Is the object used to measure weight or mass?,Closed
abacus,35,Is the object used to measure temperature?,Closed
abacus,36,Is the object used to measure pressure?,Closed
abacus,37,Is the object used to measure volume or capacity?,Closed
abacus,38,Is the object used to measure angles or shapes?,Closed
abacus,39,Is the object used to measure speed or velocity?,Closed
abacus,40,Is the object used to measure force or torque?,Closed
abacus,41,"Is the object used to measure electrical properties, such as voltage or current?",Closed
abacus,42,Does the object have a digital display?,Closed
abacus,43,Is the object an analog device?,Closed
abacus,44,I'm going to take a guess that the object is a wooden slide rule.?,Open
abacus,45,Is the object used in a specific industry or profession?,Closed
abacus,46,Is the object used in the construction industry?,Closed
abacus,47,Is the object used in the medical field?,Closed
abacus,48,Is the object used in the field of engineering?,Closed
abacus,49,Is the object used in the field of education?,Closed
abacus,50,Is the object used by students?,Closed
accordion,1,Is the object you are thinking of something that can be held in your hand?,Closed
accordion,2,Is the object you are thinking of man-made?,Closed
accordion,3,Does the object you are thinking of have buttons or controls of any kind?,Closed
accordion,4,Does the object you are thinking of require batteries or an external power source to function?,Closed
accordion,5,Is the object you are thinking of used for entertainment?,Closed
accordion,6,Is the object you are thinking of a musical instrument?,Closed
accordion,7,I'm going to take a guess that the object you are thinking of is a harmonica.?,Open
accordion,8,Is the object you are thinking of a stringed instrument?,Closed
accordion,9,Does the object you are thinking of have keys like a piano?,Closed
accordion,10,I'm going to take a guess that the object you are thinking of is an accordion.?,Open
album,1,Is the object you are thinking of something that can be held in one's hand?,Closed
album,2,Is the object man-made?,Closed
album,3,Does the object have buttons or controls?,Closed
album,4,Is the object electronic?,Closed
album,5,Is the object used for a specific task or function?,Closed
album,6,Is the object commonly found in a kitchen?,Closed
album,7,Is the object used for personal grooming or hygiene?,Closed
album,8,Is the object used primarily with the hands?,Closed
album,9,Is the object used for a task related to a hobby or craft?,Closed
album,10,Does the object have moving parts?,Closed
album,11,Is the object used to create or manipulate a specific type of material?,Closed
album,12,Is the object used to create art or music?,Closed
album,13,Is the object a musical instrument?,Closed
album,14,Is the object used for drawing or painting?,Closed
album,15,Is the object used for a type of craft that involves string or yarn?,Closed
album,16,Is the object used for sculpting or modeling?,Closed
album,17,Is the object a type of tool used in a specific art form?,Closed
album,18,Is the object something that can be used by people of all ages?,Closed
album,19,Is the object something that can be found in an art supply box or a craft store?,Closed
album,20,"Is the object related to a performance art, such as dance or theater?",Closed
album,21,Is the object a prop?,Closed
album,22,Is the object something that is worn or carried by a performer?,Closed
album,23,Is the object used to create a specific sound or noise?,Closed
album,24,"Is the object a type of percussion instrument, even though you said it's not a musical instrument?",Closed
album,25,"Is the object used to create a sound effect, such as a whoopee cushion or a slide whistle?",Closed
album,26,Is the object used to amplify or project sound?,Closed
album,27,"Is the object used in a specific type of performance, such as a play or a musical?",Closed
album,28,"Is the object used in theater to create a sound effect, such as a door creaking or a gun shot?",Closed
album,29,Is the object used by a specific character or group of characters in a performance?,Closed
album,30,Is the object used to create a sound that is associated with a particular action or event in a performance?,Closed
album,31,Is the object used to create the sound of applause?,Closed
album,32,Is the object used to create a sound that signals the start or end of a performance?,Closed
album,33,Is the object used to create a sound that is associated with a dramatic or emotional moment in a performance?,Closed
album,34,Is the object used to create a sound that is associated with a comedic or lighthearted moment in a performance?,Closed
album,35,"Is the object used to create a sound that is associated with a specific activity or action, such as a sword fight or a horse ride?",Closed
album,36,"Is the object used to create a sound that is associated with a natural phenomenon, such as thunder or a bird chirping?",Closed
album,37,"Is the object used to create a sound that is associated with a man-made object, such as a car or a machine?",Closed
album,38,Is the object used to create the sound of a car?,Closed
album,39,Is the object used to create the sound of a machine or engine?,Closed
album,40,Is the object used to create the sound of a bell?,Closed
album,41,Is the object used to create the sound of a bicycle?,Closed
album,42,Is the object used to create the sound of a train?,Closed
album,43,Is the object used to create the sound of a plane?,Closed
album,44,Is the object used to create the sound of a boat?,Closed
album,45,Is the object used to create the sound of a phone?,Closed
album,46,Is the object used to create the sound of a door?,Closed
album,47,Is the object used to create the sound of footsteps?,Closed
album,48,Is the object used to create the sound of a clock?,Closed
album,49,Is the object used to create the sound of a camera?,Closed
album,50,Is the object used to create the sound of a typewriter?,Closed
altar,1,Is the object you are thinking of something that can be held in your hand?,Closed
altar,2,Is the object you are thinking of man-made?,Closed
altar,3,Is the object you are thinking of something that can be found indoors?,Closed
altar,4,Is the object you are thinking of electronic?,Closed
altar,5,Is the object you are thinking of made primarily of fabric?,Closed
altar,6,Is the object you are thinking of made primarily of wood?,Closed
altar,7,Is the object you are thinking of a piece of furniture?,Closed
altar,8,Is the object you are thinking of a table?,Closed
altar,9,Is the object you are thinking of a chair?,Closed
altar,10,Is the object you are thinking of a bed?,Closed
altar,11,Is the object you are thinking of a desk?,Closed
altar,12,Is the object you are thinking of a bookshelf?,Closed
altar,13,Is the object you are thinking of a dresser?,Closed
altar,14,Is the object you are thinking of a nightstand?,Closed
altar,15,Is the object you are thinking of a wardrobe?,Closed
altar,16,Is the object you are thinking of a coffee table?,Closed
altar,17,Is the object you are thinking of a TV stand?,Closed
altar,18,Is the object you are thinking of a cabinet?,Closed
altar,19,Is the object you are thinking of a wardrobe closet?,Closed
altar,20,Is the object you are thinking of something that can be found in a kitchen?,Closed
altar,21,Is the object you are thinking of something that can be found in a bedroom?,Closed
altar,22,Is the object you are thinking of something that can be found in a living room?,Closed
altar,23,Is the object you are thinking of something that can be found in a home office or study?,Closed
altar,24,Is the object you are thinking of a bookcase?,Closed
altar,25,Is the object you are thinking of a file cabinet?,Closed
altar,26,Is the object you are thinking of a computer desk?,Closed
altar,27,Is the object you are thinking of a reading chair?,Closed
altar,28,Is the object you are thinking of a lectern?,Closed
altar,29,Is the object you are thinking of something that serves as a surface for writing or working?,Closed
altar,30,Is the object you are thinking of something that serves as storage for office supplies?,Closed
altar,31,Is the object you are thinking of something that serves as a display case for awards or decorations?,Closed
altar,32,Is the object you are thinking of a door?,Closed
altar,33,Is the object you are thinking of a window?,Closed
altar,34,Is the object you are thinking of a wall?,Closed
altar,35,Is the object you are thinking of a floor?,Closed
altar,36,Is the object you are thinking of a ceiling?,Closed
altar,37,Is the object you are thinking of a shelf?,Closed
altar,38,"Is the object you are thinking of something that can be sat on, aside from a chair?",Closed
altar,39,"Is the object you are thinking of something that can be leaned on, aside from a chair?",Closed
altar,40,"Is the object you are thinking of something that can be used for decoration, such as a vase or a sculpture?",Closed
altar,41,Is the object you are thinking of a wooden statue?,Closed
altar,42,Is the object you are thinking of a wooden plaque?,Closed
altar,43,Is the object you are thinking of a wooden picture frame?,Closed
altar,44,Is the object you are thinking of a wooden carving?,Closed
altar,45,Is the object you are thinking of a wooden decorative box?,Closed
altar,46,Is the object you are thinking of a wooden clock?,Closed
altar,47,Is the object you are thinking of something that is typically placed on a wall for decorative purposes?,Closed
altar,48,Is the object you are thinking of something that is typically placed on a table or shelf for decorative purposes?,Closed
altar,49,Is the object you are thinking of something that is typically placed on the floor for decorative purposes?,Closed
altar,50,Is the object you are thinking of something that serves a functional purpose in addition to being decorative?,Closed
anchor,1,Is the object you are thinking of something that can be held in your hand?,Closed
anchor,2,Is the object man-made?,Closed
anchor,3,Does the object have buttons or controls?,Closed
anchor,4,Is the object used for entertainment?,Closed
anchor,5,Is the object used for eating or drinking?,Closed
anchor,6,Is the object made primarily of plastic?,Closed
anchor,7,Is the object made primarily of metal?,Closed
anchor,8,Is the object a tool?,Closed
anchor,9,Is the object a hammer?,Closed
anchor,10,Is the object a screwdriver?,Closed
anchor,11,Is the object a pair of pliers?,Closed
anchor,12,Is the object a wrench?,Closed
anchor,13,Is the object used for cutting?,Closed
anchor,14,Does the object have a distinct or unusual shape?,Closed
anchor,15,Is the object a key?,Closed
anchor,16,Is the object commonly found in a kitchen?,Closed
anchor,17,Is the object commonly found in a garage or workshop?,Closed
anchor,18,Is the object used for personal grooming?,Closed
anchor,19,Is the object a pocket knife?,Closed
anchor,20,Is the object a level?,Closed
anchor,21,Does the object have moving parts?,Closed
anchor,22,Is the object a lock?,Closed
anchor,23,Is the object a gun?,Closed
anchor,24,Is the object a compass?,Closed
anchor,25,Is the object a clock or watch?,Closed
anchor,26,Is the object a lighter?,Closed
anchor,27,Is the object a can opener?,Closed
anchor,28,Is the object a staple gun?,Closed
anchor,29,Is the object a tape measure?,Closed
anchor,30,Is the object a pair of scissors?,Closed
anchor,31,Is the object a metal ruler?,Closed
anchor,32,Is the object a thermometer?,Closed
anchor,33,Is the object a flashlight?,Closed
anchor,34,Is the object a lantern?,Closed
anchor,35,Is the object a whistle?,Closed
anchor,36,Is the object a harmonica?,Closed
anchor,37,Is the object a pipe?,Closed
anchor,38,Is the object a metal file?,Closed
anchor,39,Is the object a metal brush?,Closed
anchor,40,Is the object a metal pick?,Closed
anchor,41,Is the object a metal fork?,Closed
anchor,42,Is the object a metal spoon?,Closed
anchor,43,Is the object a metal pencil sharpener?,Closed
anchor,44,Is the object a metal paperweight?,Closed
anchor,45,Is the object a metal container?,Closed
anchor,46,Is the object a metal picture frame?,Closed
anchor,47,Is the object a metal mirror?,Closed
anchor,48,Is the object a metal vase?,Closed
anchor,49,Is the object a metal figurine?,Closed
anchor,50,Is the object a metal statue?,Closed
anklet,1,Is the object you are thinking of something that can be held in your hand?,Closed
anklet,2,Is the object you are thinking of man-made?,Closed
anklet,3,Does the object you are thinking of have buttons or controls of any kind?,Closed
anklet,4,Is the object you are thinking of used for a specific purpose or function?,Closed
anklet,5,Is the object you are thinking of related to food or drink in any way?,Closed
anklet,6,Is the object you are thinking of made primarily of plastic?,Closed
anklet,7,Is the object you are thinking of made of metal?,Closed
anklet,8,I'm going to take a guess that the object you are thinking of is a hammer.?,Open
anklet,9,Is the object you are thinking of something that can be found in a toolbox?,Closed
anklet,10,Is the object you are thinking of used for personal grooming or hygiene?,Closed
anklet,11,"Is the object you are thinking of used for entertainment, such as a game or a toy?",Closed
anklet,12,"Is the object you are thinking of used primarily with the hands, such as a tool or utensil?",Closed
anklet,13,Is the object you are thinking of commonly found in most households?,Closed
anklet,14,Is the object you are thinking of used for decorative purposes?,Closed
anklet,15,I'm going to take a guess that the object you are thinking of is a metal picture frame. ?,Open
anvil,1,Is the object you are thinking of something that can be held in your hand?,Closed
anvil,2,Is the object you are thinking of man-made?,Closed
anvil,3,Is the object you are thinking of something that can be found indoors?,Closed
anvil,4,Is the object you are thinking of made primarily of metal?,Closed
anvil,5,Is the object you are thinking of a type of furniture?,Closed
anvil,6,Is the object you are thinking of something that can be found in a kitchen?,Closed
anvil,7,"Is the object you are thinking of something that serves a functional purpose, like a tool or a machine?",Closed
anvil,8,Is the object you are thinking of something that uses electricity?,Closed
anvil,9,Is the object you are thinking of a type of vehicle?,Closed
anvil,10,Is the object you are thinking of something that can be operated by one person?,Closed
anvil,11,"Is the object you are thinking of something that is used for a specific task, like a wrench or a hammer?",Closed
anvil,12,Is the object you are thinking of a type of saw?,Closed
anvil,13,Is the object you are thinking of a type of drill?,Closed
anvil,14,Is the object you are thinking of something that is used for cutting?,Closed
anvil,15,Is the object you are thinking of something that is used for shaping or forming?,Closed
anvil,16,Is the object you are thinking of a type of press?,Closed
anvil,17,Is the object you are thinking of something that is used to shape or form metal?,Closed
anvil,18,Is the object you are thinking of an anvil?,Closed
apron,1,Is the object you are thinking of something that can be held in your hand?,Closed
apron,2,Is the object you are thinking of man-made?,Closed
apron,3,Is the object you are thinking of something that can be found indoors?,Closed
apron,4,Is the object you are thinking of made primarily of metal?,Closed
apron,5,Is the object you are thinking of related to furniture?,Closed
apron,6,Is the object you are thinking of something that serves a functional purpose?,Closed
apron,7,Is the object you are thinking of related to a kitchen or food preparation?,Closed
apron,8,Is the object you are thinking of a refrigerator?,Closed
apron,9,Is the object you are thinking of a sink?,Closed
apron,10,Is the object you are thinking of an appliance that is commonly found on a countertop?,Closed
apron,11,Is the object you are thinking of a type of cookware?,Closed
apron,12,"Is the object you are thinking of something that is used to prepare or process food, but is not an appliance or cookware?",Closed
apron,13,Is the object you are thinking of a cutting board?,Closed
apron,14,Is the object you are thinking of a type of food or ingredient storage container?,Closed
apron,15,Is the object you are thinking of a utensil?,Closed
apron,16,Is the object you are thinking of something that is used to strain or filter food or liquids?,Closed
apron,17,Is the object you are thinking of something that is used to mix or blend food or ingredients?,Closed
apron,18,Is the object you are thinking of a spice rack?,Closed
apron,19,Is the object you are thinking of something that is used to serve food or drinks?,Closed
apron,20,Is the object you are thinking of a plate?,Closed
apron,21,Is the object you are thinking of a glass or cup?,Closed
apron,22,Is the object you are thinking of a bowl?,Closed
apron,23,"Is the object you are thinking of a serving utensil, such as a spoon or fork?",Closed
apron,24,"Is the object you are thinking of a serving dish, such as a platter or tray?",Closed
apron,25,"Is the object you are thinking of something that is used to carry or transport food or drinks, such as a tray or cart?",Closed
apron,26,"Is the object you are thinking of something that is used to dispense or portion out food or drinks, such as a pitcher or dispenser?",Closed
apron,27,Is the object you are thinking of a napkin or napkin holder?,Closed
apron,28,Is the object you are thinking of a tablecloth or placemat?,Closed
apron,29,"Is the object you are thinking of something that is used to decorate or enhance the dining experience, such as a centerpiece or candle holder?",Closed
apron,30,"Is the object you are thinking of something that is used to protect or cover food or drinks, such as a lid or cover?",Closed
apron,31,"Is the object you are thinking of something that is used to identify or label food or drinks, such as a label or sign?",Closed
apron,32,Is the object you are thinking of a food warmer or chafing dish?,Closed
