secret,question,ig
helmet,What is the function of the object?,0.0987570662206263
helmet,Is it a helmet?,0.03678132871261752
microcomputer,What is the function of the object?,0.026076195385076772
microcomputer,"What method does it use to process information, electronic, analog, biological, etc..",0.4977144176469608
microcomputer,Is it a computer?,0.013038097692538386
microcomputer,What kind of information does this computer typically process?,0.026076195385076772
microcomputer,Does it have a more specific purpose than general information processing?,0.0
microcomputer,What type of computer is it?,0.3037615810347365
microcomputer,Is it a calculator?,0.0
microcomputer,"Does it typically process images, numbers, words, geospatial, or another type of information?",0.026076195385076772
microcomputer,"Which type of information does it process, images, numbers, words, geospatial, or another type of information?",0.06889279545350391
microcomputer,Is it a smartphone?,0.0
microcomputer,Is it a personal device?,0.026076195385076772
microcomputer,Where is this object typically located?,0.0
microcomputer,Is it a tablet?,0.0
microcomputer,Is this object smaller or larger than a laptop?,1.379467322371653
microcomputer,Is this object smaller or larger than a phone?,1.379467322371653
microcomputer,Is this object a phone?,0.0
microcomputer,Is this object smaller or larger than headphones?,1.379467322371653
microcomputer,Who typically uses this device?,0.013038097692538386
microcomputer,Describe the physical attributes of this device,0.0
microcomputer,What material is it made of?,0.6717209972975269
microcomputer,Does it have a screen?,0.0
microcomputer,What year was it invented?,0.0
microcomputer,Is it a screen?,0.0
microcomputer,Is it primarily a communication device?,0.0
microcomputer,Is this a general-purpose technology?,0.026076195385076772
microcomputer,Is it a television?,0.0
microcomputer,Is it a transponder,0.0
microcomputer,a,0.03678132871261752
sweatshirt,What is the function of the object?,0.5200863219201626
sweatshirt,"Where is it typically worn? (hand, boby, legs, head, other, not worn)",1.0618754478491574
sweatshirt,Is it a coat?,0.0
sweatshirt,Is it a sweatshirt?,0.03678132871261752
curtain,What is the function of the object?,0.0
curtain,Is it blinds?,0.0
curtain,Is it curtains?,0.03678132871261752
underwear,What is the function of the object?,0.07822858615523032
underwear,"Where is it typically worn? (head, hands, body, legs, other, not worn)",1.0618754478491574
underwear,Is it a shirt?,0.0
underwear,What material is the object typically made of?,0.40258687448421604
underwear,Who typically wears this object?,0.4010991589714248
underwear,Is it a type of shirt?,0.0
underwear,Is it a jacket?,0.0
underwear,Does it cover the full torso?,0.0
underwear,What parts of the body does it cover?,0.07822858615523032
underwear,Is it pants?,0.0
underwear,Is it underwear?,0.03678132871261752
pill,What is the function of the object?,0.03911429307761516
pill,Is it used for diagnostic or treatment purposes?,0.026076195385076772
pill,Is it used for diagnoses?,0.0
pill,Is it a type of treatment?,0.026076195385076772
pill,Is it a type of medicine?,0.013038097692538386
pill,Is it fever medicine?,0.0
pill,Is it a pill?,0.03678132871261752
computer,What is the function of the object?,0.026076195385076772
computer,"What type of information does it process? visual, audio, word, geospatial, text, communication, other",0.12104911946539332
computer,"What size is it? (less than 1 ft cubed, about 1 foot cubed, about 2 foot cubed, greater than 2 foot cubed)",0.026076195385076772
computer,Is it a computer?,0.03678132871261752
container,What is the function of the object?,0.3492196076304843
container,What type of objects does it typically hold?,0.3082187761185633
container,Where is it typically located?,0.0
container,Is it a backpack?,0.0
container,"What size is it? (less than 1 ft cubed, about 1 foot cubed, about 2 foot cubed, greater than 2 foot cubed)",0.04981942640515591
container,Where is it typically located?,0.0
container,Who typically owns it?,0.0
container,What physical material is it typically made of?,0.40258687448421604
container,Is it a basket?,0.0
container,Is it a bowl?,0.0
container,What is typically put in the object?,0.026076195385076772
container,Is it a drawer,0.0
container,Is it typically found indoors?,0.026076195385076772
container,Is it a type of furniture?,0.0
container,Does it typically belong to an individual or shared between a housefold?,0.0
container,How common is this object?,0.076277687882639
container,"Is it typically used for papers, liquids, foods, people, clothes, other, all of the above?",0.023743231020079136
container,Is it a purse?,0.0
container,Is it a suitcase?,0.0
bedpost,What is the primary function of the object?,0.08017125320840712
bedpost,"What kind of support? emotional, bodily, construction, etc..",0.5276084125111726
bedpost,Is it a pillar?,0.0
bedpost,Where is this typically located?,1.2256765519451989
bedpost,Is it a mattress?,0.0
bedpost,Is it part of a room or an object in the bedroom?,0.026076195385076772
