secret,question,ig
helmet,What is the function of the object?,0.00039431128661249204
helmet,Is it a helmet?,0.007656594399790606
microcomputer,What is the function of the object?,0.0007342570342920851
microcomputer,"What method does it use to process information, electronic, analog, biological, etc..",0.01948464721523635
microcomputer,Is it a computer?,0.002192578947195045
microcomputer,What kind of information does this computer typically process?,0.0007981282808557921
microcomputer,Does it have a more specific purpose than general information processing?,0.00620082646365816
microcomputer,What type of computer is it?,0.012042345309094316
microcomputer,Is it a calculator?,0.0028133764601534494
microcomputer,"Does it typically process images, numbers, words, geospatial, or another type of information?",0.004266185949809653
microcomputer,"Which type of information does it process, images, numbers, words, geospatial, or another type of information?",0.007319755501203673
microcomputer,Is it a smartphone?,0.00620082646365816
microcomputer,Is it a personal device?,0.004266185949809653
microcomputer,Where is this object typically located?,0.00017713517657824696
microcomputer,Is it a tablet?,0.00620082646365816
microcomputer,Is this object smaller or larger than a laptop?,0.022819506408257695
microcomputer,Is this object smaller or larger than a phone?,0.022819506408257695
microcomputer,Is this object a phone?,0.00620082646365816
microcomputer,Is this object smaller or larger than headphones?,0.022819506408257695
microcomputer,Who typically uses this device?,0.0018891233547222441
microcomputer,Describe the physical attributes of this device,0.0005061722701711346
microcomputer,What material is it made of?,0.008830438934356977
microcomputer,Does it have a screen?,0.00620082646365816
microcomputer,What year was it invented?,0.007934841005726057
microcomputer,Is it a screen?,0.00620082646365816
microcomputer,Is it primarily a communication device?,0.00620082646365816
microcomputer,Is this a general-purpose technology?,0.004266185949809653
microcomputer,Is it a television?,0.0028133764601534494
microcomputer,Is it a transponder,0.00620082646365816
microcomputer,a,0.007656594399790606
sweatshirt,What is the function of the object?,0.0012584930263415117
sweatshirt,"Where is it typically worn? (hand, boby, legs, head, other, not worn)",0.04214675275165547
sweatshirt,Is it a coat?,0.00620082646365816
sweatshirt,Is it a sweatshirt?,0.007656594399790606
curtain,What is the function of the object?,0.00349100427833271
curtain,Is it blinds?,0.0028133764601534494
curtain,Is it curtains?,0.007656594399790606
underwear,What is the function of the object?,0.0006264682479759642
underwear,"Where is it typically worn? (head, hands, body, legs, other, not worn)",0.04214675275165547
underwear,Is it a shirt?,0.0028133764601534494
underwear,What material is the object typically made of?,0.007998519107829338
underwear,Who typically wears this object?,0.011827004878142588
underwear,Is it a type of shirt?,0.0028133764601534494
underwear,Is it a jacket?,0.00620082646365816
underwear,Does it cover the full torso?,0.00620082646365816
underwear,What parts of the body does it cover?,0.0005429807935968256
underwear,Is it pants?,0.0028133764601534494
underwear,Is it underwear?,0.007656594399790606
pill,What is the function of the object?,0.002153768190218841
pill,Is it used for diagnostic or treatment purposes?,0.004266185949809653
pill,Is it used for diagnoses?,0.0028133764601534494
pill,Is it a type of treatment?,0.004266185949809653
pill,Is it a type of medicine?,0.002192578947195045
pill,Is it fever medicine?,0.00620082646365816
pill,Is it a pill?,0.007656594399790606
computer,What is the function of the object?,0.0007342570342920851
computer,"What type of information does it process? visual, audio, word, geospatial, text, communication, other",0.006226513454947735
computer,"What size is it? (less than 1 ft cubed, about 1 foot cubed, about 2 foot cubed, greater than 2 foot cubed)",0.00047727257628693565
computer,Is it a computer?,0.007656594399790606
container,What is the function of the object?,0.0012788287424356781
container,What type of objects does it typically hold?,0.008117567244543267
container,Where is it typically located?,0.003232127970564491
container,Is it a backpack?,0.00620082646365816
container,"What size is it? (less than 1 ft cubed, about 1 foot cubed, about 2 foot cubed, greater than 2 foot cubed)",0.000466840116050804
container,Where is it typically located?,0.003232127970564491
container,Who typically owns it?,0.0008443131761133316
container,What physical material is it typically made of?,0.007998519107829338
container,Is it a basket?,0.00620082646365816
container,Is it a bowl?,0.00620082646365816
container,What is typically put in the object?,0.0011509760733297014
container,Is it a drawer,0.00620082646365816
container,Is it typically found indoors?,0.004266185949809653
container,Is it a type of furniture?,0.0028133764601534494
container,Does it typically belong to an individual or shared between a housefold?,0.004277479328781197
container,How common is this object?,0.006162643447069627
container,"Is it typically used for papers, liquids, foods, people, clothes, other, all of the above?",0.0001940695731477149
container,Is it a purse?,0.0028133764601534494
container,Is it a suitcase?,0.00620082646365816
